,Region,Algoma,Bruce,Brant,Cochrane,Dufferin,Durham,Elgin,Essex,Frontenac,Grey,Hamilton,Haliburton,Haldimand,Hastings,Halton,Huron,Kenora,Chatham-Kent,Lennox and Addington,Leeds and Grenville,Lambton,Lanark,Manitoulin,Middlesex,Muskoka,Norfolk,Niagara,Nipissing,Northumberland,Ottawa,Oxford,Peterborough,Prince Edward,Peel,Prescott and Russell,Parry Sound,Perth,Renfrew,Rainy River,Sudbury,Simcoe,"Stormont, Dundas and Glengarry",Greater Sudbury,Thunder Bay,Timiskaming,Toronto,Kawartha Lakes,Wellington,Waterloo,York
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigo Bunting,,2022-05-11,2022-05-04,2022-05-06,2022-05-08,2022-05-10,2022-05-05,2022-05-01,2022-04-26,2022-05-06,2022-05-07,2022-05-06,2022-05-09,2022-05-01,2022-05-07,2022-05-06,2022-05-03,2022-05-08,2022-04-29,2022-05-05,2022-05-07,2022-05-05,2022-05-06,2022-05-05,2022-05-04,2022-05-09,2022-04-29,2022-05-02,2022-05-09,2022-05-02,2022-05-07,2022-05-05,2022-05-08,2022-05-02,2022-05-04,2022-05-08,2022-05-08,2022-05-06,2022-05-10,2022-05-09,2022-05-03,2022-05-08,2022-05-08,2022-05-10,2022-05-07,2022-05-09,2022-05-02,2022-05-09,2022-05-07,2022-05-07,2022-05-08
Kentucky Warbler,,,,,,,,2022-05-15,2022-04-24,,,2022-05-22,,,,2022-05-15,,,2022-04-22,2022-05-11,,2022-05-08,,,2022-05-15,,2022-05-14,2022-05-08,,2022-05-15,,2022-04-22,,,2022-04-15,,,,,,,2022-05-15,,,,,2022-05-01,,,,
Killdeer,,2022-03-22,2022-03-04,2022-03-03,2022-04-01,2022-03-12,2022-03-05,2022-02-28,2022-02-25,2022-03-05,2022-03-06,2022-03-02,2022-03-15,2022-03-02,2022-03-06,2022-03-02,2022-03-02,2022-04-13,2022-03-01,2022-03-04,2022-03-07,2022-02-28,2022-03-10,2022-03-29,2022-03-01,2022-03-17,2022-03-01,2022-03-02,2022-03-24,2022-03-11,2022-03-13,2022-02-28,2022-03-04,2022-03-07,2022-03-08,2022-03-20,2022-03-21,2022-03-05,2022-03-17,2022-04-03,2022-05-02,2022-03-07,2022-03-14,2022-04-07,2022-04-05,2022-03-26,2022-03-05,2022-03-14,2022-03-03,2022-03-03,2022-03-08
King Eider,,,2022-03-07,,,,2022-03-09,,2022-03-09,,,2022-02-28,,,,2022-02-26,2022-02-28,,2022-03-08,,2022-02-28,2022-03-10,,2022-05-08,,,,2022-02-28,,2022-02-18,,,,2022-02-21,,,,,,,,2022-05-15,,,,,2022-03-21,,,,
Kirtland's Warbler,,,2022-05-01,,,,,,2022-04-27,,,2022-04-22,,,,2022-05-01,,,2022-05-07,,,2022-05-01,,,2022-05-08,,2022-05-02,,2022-05-08,,,,,,,,,,2022-05-15,,,2022-05-16,,,,,2022-05-15,,,,
Lapland Longspur,,2022-04-11,2022-04-03,2022-04-05,2022-04-06,2022-05-11,2022-02-28,2022-04-16,2022-04-21,2022-03-07,2022-03-21,2022-03-07,2022-04-14,2022-02-28,2022-02-28,2022-04-30,2022-04-02,2022-05-07,2022-02-28,2022-05-14,2022-02-28,2022-02-24,2022-04-14,2022-05-03,2022-04-11,2022-04-22,2022-02-28,2022-04-14,2022-03-14,2022-02-28,2022-02-28,2022-04-07,2022-03-27,2022-02-28,2022-04-01,2022-02-28,2022-05-14,2022-03-30,2022-05-21,2022-04-22,2022-04-08,2022-03-07,2022-02-28,2022-05-06,2022-04-07,2022-02-28,2022-05-12,2022-05-07,2022-04-07,2022-04-14,2022-02-17
Lesser Black-backed Gull,,2022-04-08,2022-04-17,2022-04-21,2022-04-12,2022-04-18,2022-04-03,2022-04-09,2022-02-18,2022-04-02,,2022-02-26,2022-05-01,2022-05-12,2022-04-01,2022-05-07,2022-05-04,,2022-05-16,2022-03-07,2022-02-25,2022-03-20,,,2022-04-03,,2022-04-14,2022-03-07,2022-04-22,2022-04-07,2022-03-19,,2022-03-31,2022-04-07,2022-02-23,2022-04-18,2022-05-01,2022-04-08,2022-04-02,2022-05-15,,2022-03-21,2022-04-09,2022-04-15,2022-04-12,2022-04-15,2022-04-07,2022-02-22,2022-03-07,2022-02-19,2022-02-28
Least Bittern,,2022-05-01,2022-05-14,,,2022-05-15,2022-05-11,2022-04-26,2022-04-24,2022-05-08,2022-04-22,2022-05-01,2022-05-15,2022-05-15,2022-05-05,2022-05-15,2022-05-23,,2022-04-23,2022-05-01,2022-05-07,2022-05-07,2022-04-30,,2022-05-09,2022-05-07,2022-04-24,2022-05-03,2022-05-15,2022-04-28,2022-05-14,2022-05-08,2022-04-23,2022-05-01,2022-05-22,2022-05-15,2022-05-01,2022-05-21,2022-05-08,2022-05-22,,2022-04-27,2022-05-03,,2022-05-15,,2022-05-10,2022-05-06,2022-05-21,2022-04-22,2022-05-14
Least Flycatcher,,2022-05-02,2022-05-01,2022-05-01,2022-05-11,2022-05-01,2022-04-29,2022-04-27,2022-04-24,2022-04-29,2022-04-29,2022-04-29,2022-05-05,2022-04-24,2022-04-29,2022-04-28,2022-04-29,2022-05-09,2022-04-24,2022-04-30,2022-04-30,2022-04-30,2022-05-03,2022-05-01,2022-04-24,2022-05-04,2022-04-24,2022-04-27,2022-05-02,2022-04-29,2022-05-02,2022-04-30,2022-04-30,2022-04-30,2022-04-28,2022-05-04,2022-04-29,2022-05-01,2022-05-03,2022-05-07,2022-05-04,2022-05-02,2022-05-03,2022-05-03,2022-05-09,2022-05-06,2022-04-28,2022-05-02,2022-05-01,2022-04-29,2022-04-28
Least Sandpiper,,2022-05-02,2022-05-02,2022-05-05,2022-05-06,2022-05-02,2022-04-30,2022-04-24,2022-04-23,2022-05-02,2022-05-04,2022-04-30,2022-05-09,2022-04-30,2022-05-01,2022-05-01,2022-04-30,2022-05-07,2022-04-23,2022-04-30,2022-04-30,2022-04-23,2022-05-08,2022-05-02,2022-05-01,2022-05-04,2022-04-27,2022-05-04,2022-05-05,2022-05-01,2022-05-06,2022-04-29,2022-05-03,2022-04-27,2022-05-02,2022-04-29,2022-05-04,2022-04-27,2022-05-05,2022-05-05,,2022-05-03,2022-04-30,2022-05-03,2022-05-06,2022-05-04,2022-05-01,2022-05-01,2022-04-28,2022-05-01,2022-05-02
LeConte's Sparrow,,2022-05-09,,,2022-05-12,,2022-04-15,,2022-05-01,,,,,,2022-05-15,2022-05-01,,2022-05-03,2022-05-01,2022-04-22,,2022-04-15,,,,,2022-04-15,,2022-04-08,,,2022-04-08,,,2022-04-08,,,,2022-04-22,2022-05-10,2022-05-23,,,,2022-05-02,2022-05-22,2022-04-22,,,,
Lesser Scaup,,2022-03-30,2022-03-14,2022-03-15,2022-04-22,2022-03-21,2022-03-01,2022-03-05,2022-03-03,2022-03-05,2022-03-12,2022-03-28,2022-04-13,2022-03-08,2022-03-04,2022-03-14,2022-03-03,2022-04-15,2022-03-01,2022-03-01,2022-02-23,2022-03-16,2022-03-08,2022-03-19,2022-03-01,2022-03-28,2022-02-28,2022-02-26,2022-04-06,2022-03-04,2022-03-22,2022-03-04,2022-03-04,2022-03-12,2022-03-26,2022-04-03,2022-04-04,2022-03-15,2022-04-01,2022-04-03,2022-05-05,2022-03-11,2022-03-18,2022-03-14,2022-04-03,2022-04-12,2022-03-17,2022-03-06,2022-03-09,2022-03-02,2022-03-10
Lesser Yellowlegs,,2022-04-19,2022-04-13,2022-04-16,2022-04-23,2022-04-11,2022-04-16,2022-04-08,2022-04-02,2022-04-17,2022-04-08,2022-03-31,2022-04-21,2022-04-14,2022-04-17,2022-04-09,2022-04-14,2022-04-24,2022-04-02,2022-04-17,2022-04-15,2022-04-07,2022-04-14,2022-04-20,2022-04-18,2022-04-28,2022-04-08,2022-04-09,2022-05-02,2022-04-19,2022-04-18,2022-04-13,2022-04-14,2022-04-17,2022-04-16,2022-04-20,2022-04-17,2022-04-16,2022-04-30,2022-04-23,2022-04-15,2022-04-04,2022-04-21,2022-04-19,2022-04-20,2022-04-24,2022-04-18,2022-04-14,2022-04-11,2022-04-15,2022-04-11
Lincoln's Sparrow,,2022-04-27,2022-04-24,2022-04-25,2022-05-07,2022-05-01,2022-04-26,2022-04-25,2022-04-23,2022-04-25,2022-04-18,2022-04-30,2022-05-03,2022-04-24,2022-04-22,2022-04-25,2022-04-19,2022-05-04,2022-04-24,2022-04-30,2022-04-18,2022-04-29,2022-04-22,2022-05-01,2022-04-25,2022-05-01,2022-04-23,2022-04-27,2022-04-30,2022-04-27,2022-05-01,2022-04-28,2022-05-01,2022-05-01,2022-05-05,2022-05-08,2022-04-29,2022-04-23,2022-04-27,2022-04-30,2022-05-22,2022-04-24,2022-04-21,2022-05-01,2022-04-28,2022-04-24,2022-04-27,2022-04-28,2022-04-24,2022-04-28,2022-04-27
Little Gull,,2022-05-08,2022-02-24,,2022-05-05,,2022-04-02,2022-05-15,2022-04-23,2022-04-15,,2022-04-18,,2022-04-06,,2022-05-14,2022-04-08,2022-05-08,2022-05-14,2022-04-09,,2022-05-07,,,2022-04-08,,2022-03-16,2022-03-21,,2022-05-15,2022-05-21,2022-04-22,,2022-03-24,2022-04-10,,,2022-04-22,2022-05-01,2022-04-22,,2022-04-30,,2022-05-15,2022-05-15,2022-05-03,2022-05-01,,,,2022-04-01
Long-billed Dowitcher,,,2022-04-10,2022-04-21,,2022-04-22,2022-04-22,2022-04-22,2022-04-16,,2022-04-15,2022-04-18,,2022-04-22,,2022-04-22,2022-04-22,2022-05-01,2022-04-22,2022-04-01,,2022-04-21,,,,,2022-04-22,2022-04-15,,,2022-03-15,2022-04-22,2022-04-15,2022-05-08,,2022-05-08,,2022-05-08,,,,2022-04-15,,,2022-05-08,,2022-04-22,,2022-04-15,,
Long-eared Owl,,2022-02-22,2022-03-22,2022-03-14,2022-04-09,2022-03-23,2022-03-14,2022-04-07,2022-04-30,2022-04-15,2022-05-07,2022-02-26,,2022-02-28,2022-04-01,2022-03-31,,2022-04-08,2022-02-28,2022-03-07,2022-03-15,2022-02-28,2022-04-22,,2022-02-28,2022-03-15,2022-04-07,2022-02-24,2022-03-15,2022-04-11,2022-04-17,,2022-04-17,2022-04-22,2022-02-28,,2022-05-01,,2022-04-02,2022-04-22,2022-02-28,,2022-03-16,,2022-03-24,2022-04-01,2022-03-04,2022-05-02,2022-03-31,2022-03-14,2022-02-19
Loggerhead Shrike,,2022-04-15,2022-05-22,,,,2022-03-22,2022-05-08,2022-04-27,2022-05-16,,2022-05-15,,,2022-04-08,,,,,2022-03-23,,,2022-04-01,2022-04-08,,,2022-05-10,,,,2022-05-01,2022-04-08,2022-03-23,2022-05-15,,,,,2022-04-01,,,,,,2022-04-22,,2022-05-08,2022-04-15,,,
Long-tailed Duck,,2022-04-28,2022-02-28,2022-02-22,2022-05-03,2022-04-22,2022-03-06,2022-05-20,2022-02-24,2022-03-16,2022-03-07,2022-03-07,2022-05-15,2022-02-26,2022-03-14,2022-03-07,2022-03-14,2022-05-23,2022-03-21,2022-03-01,2022-04-20,2022-02-28,2022-03-08,2022-05-02,2022-02-19,2022-02-23,2022-03-27,2022-03-07,2022-05-15,2022-03-04,2022-04-16,2022-03-14,2022-03-07,2022-04-24,2022-02-25,2022-05-07,2022-03-03,2022-03-06,2022-05-04,2022-05-08,,2022-02-28,2022-04-01,2022-04-17,2022-04-09,2022-05-07,2022-02-20,2022-02-25,2022-03-28,2022-02-22,2022-04-04
Magnolia Warbler,,2022-05-07,2022-05-02,2022-05-07,2022-05-13,2022-05-04,2022-05-02,2022-05-02,2022-04-27,2022-05-03,2022-05-07,2022-05-03,2022-05-04,2022-04-30,2022-05-02,2022-05-02,2022-05-01,2022-05-11,2022-04-28,2022-05-05,2022-05-02,2022-05-01,2022-05-03,2022-05-03,2022-05-01,2022-05-04,2022-04-27,2022-05-02,2022-05-03,2022-05-01,2022-05-04,2022-05-02,2022-05-03,2022-05-01,2022-05-02,2022-05-08,2022-05-05,2022-05-05,2022-05-06,2022-05-07,2022-05-14,2022-05-03,2022-05-04,2022-05-04,2022-05-10,2022-05-07,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02
Marbled Godwit,,2022-05-09,2022-04-15,,2022-05-02,,2022-05-08,2022-04-15,2022-04-15,,,2022-05-01,,2022-04-15,,,2022-04-22,2022-05-22,2022-04-13,2022-04-22,,,,2022-05-23,,,2022-04-21,2022-04-22,2022-05-08,2022-04-22,2022-05-16,,,2022-05-15,,2022-05-08,2022-05-08,2022-04-08,,2022-05-13,,2022-05-15,,,2022-05-04,,2022-05-15,,2022-05-08,,
Marsh Wren,,2022-05-15,2022-05-07,2022-05-15,,2022-04-26,2022-04-23,2022-04-18,2022-04-18,2022-04-27,2022-05-09,2022-05-01,,2022-04-27,2022-05-02,2022-04-22,2022-05-01,2022-05-15,2022-04-19,2022-04-29,2022-04-24,2022-04-20,2022-04-25,2022-05-11,2022-04-21,2022-05-09,2022-04-18,2022-05-01,2022-05-02,2022-04-20,2022-05-07,2022-05-22,2022-05-01,2022-05-03,2022-05-22,2022-05-04,2022-05-09,2022-05-15,2022-05-04,2022-05-19,,2022-04-22,2022-04-24,,2022-05-09,,2022-04-12,2022-04-29,2022-04-27,2022-04-23,2022-05-07
Merlin,,2022-03-24,2022-03-14,2022-03-04,2022-03-18,2022-04-12,2022-03-26,2022-03-31,2022-04-06,2022-03-14,2022-03-16,2022-04-13,2022-03-16,2022-04-30,2022-03-25,2022-03-24,2022-03-16,2022-03-18,2022-04-20,2022-05-10,2022-03-07,2022-03-31,2022-04-01,2022-03-31,2022-03-19,2022-03-14,2022-03-27,2022-03-16,2022-03-18,2022-03-21,2022-03-06,2022-02-23,2022-03-02,2022-04-15,2022-02-28,2022-03-07,2022-03-19,2022-03-06,2022-03-16,2022-04-03,2022-04-03,2022-03-05,2022-03-23,2022-03-14,2022-03-24,2022-03-12,2022-03-14,2022-03-02,2022-03-17,2022-04-16,2022-03-26
Mourning Warbler,,2022-05-14,2022-05-10,2022-05-14,2022-05-15,2022-05-15,2022-05-10,2022-05-08,2022-05-02,2022-05-07,2022-05-11,2022-05-10,2022-05-08,2022-05-08,2022-05-13,2022-05-08,2022-05-08,2022-05-17,2022-05-04,2022-05-07,2022-05-11,2022-05-05,2022-05-05,2022-05-17,2022-05-09,2022-05-15,2022-05-07,2022-05-08,2022-05-14,2022-05-09,2022-05-08,2022-05-11,2022-05-11,2022-05-08,2022-05-08,2022-05-15,2022-05-13,2022-05-08,2022-05-15,2022-05-13,2022-05-14,2022-05-10,2022-05-08,2022-05-15,2022-05-16,2022-05-14,2022-05-08,2022-05-09,2022-05-10,2022-05-10,2022-05-11
Mute Swan,,2022-04-09,2022-02-28,2022-02-26,2022-05-15,2022-04-13,2022-02-28,2022-05-16,2022-04-14,2022-03-01,2022-03-07,2022-03-07,,2022-03-12,2022-03-07,2022-02-22,2022-03-17,,2022-02-22,2022-02-28,2022-03-08,2022-02-28,2022-03-08,2022-04-08,2022-02-26,2022-02-28,2022-02-28,2022-03-05,2022-05-22,2022-03-04,,2022-03-09,2022-02-24,2022-02-22,2022-03-14,2022-05-08,,2022-03-17,,,,2022-02-19,2022-03-09,,2022-05-08,,2022-02-20,2022-03-04,2022-02-23,2022-03-01,2022-05-13
Nashville Warbler,,2022-05-01,2022-04-25,2022-04-23,2022-05-10,2022-04-28,2022-04-23,2022-04-22,2022-04-21,2022-04-24,2022-04-27,2022-04-22,2022-04-28,2022-04-22,2022-04-27,2022-04-24,2022-04-23,2022-05-09,2022-04-21,2022-04-27,2022-04-24,2022-04-21,2022-04-27,2022-05-01,2022-04-22,2022-04-30,2022-04-21,2022-04-22,2022-04-30,2022-04-22,2022-04-26,2022-04-28,2022-04-24,2022-04-23,2022-04-23,2022-04-27,2022-04-30,2022-04-26,2022-04-30,2022-05-02,2022-05-08,2022-04-25,2022-04-27,2022-05-02,2022-05-08,2022-05-02,2022-04-22,2022-04-27,2022-04-25,2022-04-23,2022-04-23
Northern Hawk Owl,,2022-03-14,2022-02-28,,2022-03-05,,,,,2022-02-28,,2022-02-28,,,2022-02-28,2022-02-28,,2022-03-15,,2022-02-28,2022-02-28,,2022-03-02,2022-02-28,,2022-02-28,,2022-02-28,2022-03-07,2022-02-28,2022-02-28,,2022-02-28,,2022-02-28,2022-02-28,2022-02-28,,2022-03-07,2022-03-14,2022-03-17,2022-02-28,2022-02-28,2022-04-14,2022-03-07,2022-03-05,,2022-02-26,2022-02-28,,2022-02-28
Northern Cardinal,,2022-05-21,2022-05-01,2022-04-25,2022-05-14,2022-05-14,2022-03-10,2022-04-17,2022-03-05,2022-04-05,2022-02-28,2022-03-19,2022-03-11,2022-03-14,2022-04-22,2022-03-10,2022-04-17,2022-02-28,2022-03-20,2022-05-03,2022-04-21,2022-03-07,2022-03-12,2022-03-31,2022-03-24,2022-02-21,2022-03-24,2022-03-09,2022-04-11,2022-04-17,2022-04-01,2022-04-23,2022-03-03,2022-04-17,2022-02-26,2022-03-04,2022-03-06,2022-02-22,2022-03-07,2022-05-01,2022-04-30,2022-04-29,2022-04-18,2022-03-21,2022-03-07,2022-03-07,2022-02-23,2022-02-18,2022-04-01,2022-04-01,2022-04-05
Northern Flicker,,2022-04-03,2022-03-27,2022-03-22,2022-04-15,2022-04-01,2022-03-31,2022-03-21,2022-03-15,2022-03-31,2022-03-29,2022-03-27,2022-04-03,2022-03-23,2022-04-01,2022-03-28,2022-03-17,2022-04-14,2022-03-17,2022-03-29,2022-03-31,2022-03-18,2022-03-31,2022-04-07,2022-03-24,2022-04-04,2022-03-22,2022-03-19,2022-04-05,2022-03-27,2022-04-01,2022-03-21,2022-03-31,2022-03-28,2022-03-27,2022-04-03,2022-04-06,2022-03-26,2022-04-03,2022-04-05,2022-04-04,2022-03-31,2022-04-01,2022-04-05,2022-04-08,2022-04-08,2022-03-28,2022-04-01,2022-03-27,2022-03-27,2022-03-29
Northern Goshawk,,2022-04-11,2022-04-15,,2022-05-21,2022-03-23,2022-04-07,2022-04-08,2022-04-05,2022-02-23,2022-03-18,2022-05-21,2022-04-02,2022-02-28,2022-04-07,2022-03-06,2022-03-22,2022-03-10,2022-04-30,2022-04-20,2022-04-02,2022-03-26,2022-04-30,2022-05-12,2022-04-07,2022-03-31,2022-04-10,2022-03-10,2022-03-14,2022-03-07,2022-03-13,2022-04-08,2022-05-19,2022-03-14,2022-03-03,2022-02-28,2022-04-12,,2022-05-24,2022-04-12,2022-04-11,2022-02-28,2022-04-06,2022-03-08,2022-02-28,2022-02-24,2022-04-21,2022-03-21,2022-05-17,2022-04-04,2022-05-25
Northern Mockingbird,,2022-04-16,2022-04-10,2022-05-09,2022-05-18,2022-04-16,2022-03-09,2022-03-17,2022-04-25,2022-05-21,2022-05-22,2022-03-07,2022-05-08,2022-04-21,2022-05-20,2022-05-30,2022-04-01,2022-05-16,2022-05-08,2022-05-21,2022-04-19,2022-03-17,2022-05-08,2022-05-15,2022-05-14,2022-04-01,2022-04-14,2022-05-29,2022-05-09,2022-04-28,2022-05-24,2022-04-15,2022-04-30,2022-05-07,2022-04-12,,2022-02-28,2022-03-12,2022-04-07,2022-05-01,,2022-05-04,2022-05-04,2022-04-26,2022-05-01,2022-05-14,2022-03-17,2022-05-12,2022-05-15,2022-03-04,2022-02-26
Northern Parula,,2022-05-05,2022-05-01,2022-05-03,2022-05-09,2022-05-03,2022-04-27,2022-04-28,2022-04-24,2022-04-24,2022-05-02,2022-04-25,2022-05-03,2022-04-26,2022-05-02,2022-04-26,2022-05-04,2022-05-08,2022-04-26,2022-05-02,2022-04-30,2022-04-30,2022-05-04,2022-05-02,2022-04-30,2022-05-04,2022-04-25,2022-04-27,2022-05-01,2022-04-27,2022-04-30,2022-05-04,2022-05-01,2022-04-27,2022-04-30,2022-05-06,2022-05-04,2022-05-03,2022-05-07,2022-05-01,2022-05-09,2022-05-01,2022-05-02,2022-05-07,2022-05-07,2022-05-09,2022-04-29,2022-04-30,2022-05-01,2022-05-01,2022-04-25
Northern Pintail,,2022-03-17,2022-03-03,2022-02-20,2022-04-08,2022-03-05,2022-03-02,2022-02-22,2022-02-20,2022-03-01,2022-03-10,2022-03-04,2022-04-21,2022-03-02,2022-03-02,2022-03-07,2022-03-01,2022-04-03,2022-03-04,2022-03-02,2022-03-03,2022-02-22,2022-03-03,2022-04-03,2022-02-25,2022-04-08,2022-02-20,2022-03-07,2022-04-07,2022-03-05,2022-03-04,2022-02-25,2022-03-01,2022-03-01,2022-03-04,2022-03-14,2022-04-08,2022-03-01,2022-03-31,2022-03-08,2022-04-01,2022-02-26,2022-03-08,2022-04-10,2022-03-25,2022-04-03,2022-03-07,2022-03-01,2022-02-22,2022-02-28,2022-03-15
Northern Shoveler,,2022-04-03,2022-03-16,2022-03-07,2022-04-21,2022-03-31,2022-03-14,2022-02-28,2022-03-02,2022-03-18,2022-03-16,2022-03-30,2022-05-22,2022-03-05,2022-03-31,2022-03-07,2022-03-06,2022-04-17,2022-03-01,2022-03-23,2022-03-14,2022-03-03,2022-05-14,2022-04-11,2022-03-08,2022-04-02,2022-03-01,2022-03-04,2022-04-08,2022-03-09,2022-04-01,2022-03-08,2022-03-21,2022-03-12,2022-03-31,2022-04-07,2022-04-10,2022-03-15,2022-04-09,2022-04-14,2022-05-09,2022-03-16,2022-03-31,2022-04-10,2022-04-05,2022-04-14,2022-03-02,2022-03-30,2022-03-14,2022-03-03,2022-03-17
Northern Waterthrush,,2022-04-30,2022-04-23,2022-04-20,2022-05-09,2022-04-23,2022-04-21,2022-04-21,2022-04-21,2022-04-19,2022-04-22,2022-04-20,2022-04-25,2022-04-18,2022-04-22,2022-04-20,2022-04-25,2022-05-09,2022-04-20,2022-04-22,2022-04-19,2022-04-18,2022-04-21,2022-05-01,2022-04-22,2022-04-24,2022-04-20,2022-04-21,2022-04-25,2022-04-21,2022-04-23,2022-04-22,2022-04-20,2022-04-22,2022-04-21,2022-04-23,2022-05-01,2022-04-23,2022-04-24,2022-05-02,2022-05-02,2022-04-23,2022-04-27,2022-04-30,2022-05-07,2022-05-03,2022-04-18,2022-04-22,2022-04-21,2022-04-22,2022-04-18
Northern Rough-winged Swallow,,2022-04-19,2022-04-15,2022-04-12,2022-05-23,2022-04-22,2022-04-08,2022-04-09,2022-04-08,2022-04-09,2022-04-14,2022-04-07,2022-04-08,2022-04-10,2022-04-14,2022-04-07,2022-04-12,2022-05-15,2022-04-05,2022-04-06,2022-04-12,2022-04-07,2022-04-20,2022-05-01,2022-04-09,2022-04-17,2022-04-08,2022-04-07,2022-05-03,2022-04-10,2022-04-12,2022-04-08,2022-04-10,2022-04-11,2022-04-10,2022-04-17,2022-05-14,2022-04-14,2022-04-23,2022-04-29,,2022-04-11,2022-04-15,2022-05-22,2022-05-09,2022-05-15,2022-04-08,2022-04-20,2022-04-11,2022-04-11,2022-04-10
Nelson's Sparrow,,,2022-05-08,,,,,,2022-05-07,,,,,,,,,,2022-05-15,,,,,2022-05-01,,,2022-05-08,,2022-05-22,2022-05-22,2022-05-22,,2022-05-22,,,,,,,2022-05-15,,,,,2022-05-15,2022-05-19,,2022-05-15,,,
Northern Saw-whet Owl,,2022-02-21,2022-02-24,2022-02-24,2022-03-26,2022-03-15,2022-03-12,2022-02-28,2022-03-31,2022-04-02,,2022-02-26,2022-02-20,2022-02-28,2022-02-25,2022-03-14,,2022-03-26,2022-04-21,2022-02-28,2022-04-01,2022-03-14,2022-04-04,2022-02-28,2022-04-05,2022-03-07,2022-04-11,2022-03-02,2022-03-21,2022-05-14,2022-02-20,2022-04-01,2022-02-28,2022-03-01,2022-02-19,2022-03-17,2022-03-27,2022-03-01,2022-03-11,2022-02-23,2022-03-14,2022-02-28,2022-03-12,2022-02-24,2022-03-01,2022-05-21,2022-03-14,2022-04-10,2022-03-07,2022-03-14,2022-02-26
Olive-sided Flycatcher,,2022-05-13,2022-05-08,2022-05-08,2022-05-19,2022-05-15,2022-05-11,2022-05-01,2022-05-01,2022-05-09,2022-05-15,2022-05-10,2022-05-11,2022-05-15,2022-05-03,2022-05-07,2022-05-03,2022-05-15,2022-05-08,2022-05-09,2022-05-08,2022-05-09,2022-05-16,2022-05-01,2022-05-09,2022-05-14,2022-05-09,2022-05-09,2022-05-14,2022-05-03,2022-05-09,2022-05-09,2022-05-08,2022-05-07,2022-05-08,2022-05-15,2022-05-11,2022-05-10,2022-05-16,2022-05-12,2022-05-08,2022-05-08,2022-05-08,2022-05-22,2022-05-14,2022-05-16,2022-05-13,2022-05-08,2022-05-11,2022-05-13,2022-05-05
Orchard Oriole,,2022-05-08,2022-04-30,2022-04-27,,2022-05-08,2022-04-30,2022-04-27,2022-04-24,2022-04-30,2022-05-08,2022-05-01,2022-05-08,2022-04-24,2022-04-29,2022-04-30,2022-04-25,,2022-04-21,2022-05-01,2022-04-15,2022-04-26,,2022-05-01,2022-04-27,,2022-04-22,2022-04-23,,2022-04-26,2022-05-15,2022-04-26,2022-05-07,2022-04-30,2022-04-30,2022-05-23,,2022-04-26,,,,2022-04-30,2022-05-01,,2022-05-08,,2022-04-28,2022-05-15,2022-05-03,2022-04-28,2022-05-03
Orange-crowned Warbler,,2022-05-01,2022-04-27,2022-04-25,2022-05-03,2022-04-23,2022-04-28,2022-05-11,2022-04-17,2022-05-01,2022-05-01,2022-05-04,2022-05-04,2022-04-24,2022-05-01,2022-05-14,2022-04-22,2022-05-03,2022-04-26,2022-05-08,2022-04-30,2022-04-18,2022-04-25,2022-05-01,2022-04-24,2022-04-30,2022-04-21,2022-04-26,2022-04-30,2022-04-26,2022-04-30,2022-05-08,2022-05-03,2022-04-27,2022-04-27,2022-05-08,2022-04-30,2022-04-25,2022-05-15,2022-05-07,2022-05-01,2022-04-24,2022-04-28,2022-05-07,2022-05-01,2022-05-01,2022-04-28,2022-04-22,2022-05-02,2022-04-27,2022-04-25
Osprey,,2022-04-04,2022-04-01,2022-03-28,2022-04-22,2022-04-08,2022-03-27,2022-03-31,2022-03-23,2022-03-22,2022-04-01,2022-03-27,2022-03-29,2022-03-27,2022-03-21,2022-03-25,2022-04-01,2022-04-14,2022-04-07,2022-03-24,2022-03-25,2022-04-01,2022-03-24,2022-04-05,2022-03-21,2022-04-03,2022-03-29,2022-03-21,2022-04-06,2022-03-30,2022-04-01,2022-03-31,2022-03-24,2022-03-24,2022-03-31,2022-04-05,2022-04-04,2022-03-25,2022-04-03,2022-04-02,2022-05-07,2022-03-28,2022-03-31,2022-04-15,2022-04-11,2022-04-15,2022-03-22,2022-03-25,2022-03-26,2022-03-22,2022-03-23
Pacific Loon,,,,,,,,,2022-05-01,,,2022-02-28,,2022-05-01,,2022-02-28,,2022-05-22,2022-05-08,,,2022-05-01,,,,,2022-05-14,,,,,,,,,,,,,,,,,,,,2022-04-15,,,,
Palm Warbler,,2022-04-22,2022-04-21,2022-04-20,2022-05-04,2022-04-23,2022-04-20,2022-04-18,2022-04-16,2022-04-21,2022-04-21,2022-04-18,2022-04-21,2022-04-21,2022-04-22,2022-04-21,2022-04-16,2022-05-01,2022-04-17,2022-04-20,2022-04-22,2022-04-15,2022-04-18,2022-04-23,2022-04-20,2022-04-22,2022-04-16,2022-04-20,2022-04-25,2022-04-21,2022-04-21,2022-04-19,2022-04-21,2022-04-21,2022-04-20,2022-04-21,2022-04-24,2022-04-22,2022-04-22,2022-04-27,2022-04-29,2022-04-21,2022-04-15,2022-04-27,2022-04-30,2022-04-24,2022-04-19,2022-04-21,2022-04-21,2022-04-21,2022-04-20
